protein_id,design_idx,tier,arm,seq_len,nod_pp_hotspot_coverage,burden_all,burden_tier2,wt_hotspot_coverage,nod_hotspot_coverage,d3_hotspot_coverage,delta_hotspot_coverage,nod_n_hotspot_positions,d3_n_hotspot_positions,delta_n_hotspot_positions,nod_mean_hotspot,d3_mean_hotspot,delta_mean_hotspot,nod_max_hotspot,d3_max_hotspot,delta_max_hotspot,nod_global_risk,d3_global_risk,delta_global_risk,nod_n_strong_binders,d3_n_strong_binders,delta_n_strong_binders,nod_strong_per_100aa,d3_strong_per_100aa,delta_strong_per_100aa,nod_mean_best_rank,d3_mean_best_rank,delta_mean_best_rank,nod_scTM,d3_scTM,delta_scTM,nod_pLDDT,d3_pLDDT,delta_pLDDT,nod_bb_RMSD,d3_bb_RMSD,delta_bb_RMSD,nod_recovery,d3_recovery,delta_recovery
1LI1_C,0,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.39285714285714285,0.3080357142857143,-0.08482142857142855,88.0,69.0,-19.0,1.144861102104187,0.9399009346961975,-0.2049601674079895,8.822981834411621,6.800646781921387,-2.0223350524902344,-10.277056694030762,-9.790643692016602,0.48641300201416016,17.0,23.0,6.0,7.5892857142857135,10.267857142857142,2.678571428571429,0.806,0.48600000000000004,-0.32,0.95452,0.9269,-0.02762000000000009,77.96796785304248,76.7539524348811,-1.214015418161381,1.39,1.85,0.4600000000000002,0.4955357142857143,0.5178571428571429,0.022321428571428603
1LI1_C,1,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.32142857142857145,0.36160714285714285,0.0401785714285714,72.0,81.0,9.0,1.4509886503219604,1.5818454027175903,0.13085675239562988,9.019819259643555,18.1102294921875,9.090410232543945,-7.374013423919678,-1.320375919342041,6.053637504577637,18.0,8.0,-10.0,8.035714285714286,3.571428571428571,-4.464285714285715,0.8220000000000001,0.6619999999999999,-0.16000000000000014,0.93409,0.95452,0.02043000000000006,77.02045866364666,77.00614471452798,-0.01431394911868722,1.6,1.5,-0.10000000000000009,0.5267857142857143,0.4642857142857143,-0.0625
1LI1_C,2,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.2544642857142857,0.23214285714285715,-0.022321428571428548,57.0,52.0,-5.0,1.1550848484039307,0.7514547109603882,-0.4036301374435425,9.318769454956055,4.327062606811523,-4.991706848144531,-7.236567974090576,-12.028764724731445,-4.792196750640869,5.0,0.0,-5.0,2.232142857142857,0.0,-2.232142857142857,1.112,4.1,2.9879999999999995,0.94899,0.92762,-0.02137,79.75422559906488,78.46163972286374,-1.2925858762011444,1.55,1.83,0.28,0.5223214285714286,0.5178571428571429,-0.004464285714285698
1LI1_C,3,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.26785714285714285,0.4375,0.16964285714285715,60.0,98.0,38.0,0.5710830092430115,1.1330729722976685,0.561989963054657,3.632558822631836,7.144097328186035,3.511538505554199,-12.707160949707031,-8.911916732788086,3.7952442169189453,5.0,8.0,3.0,2.232142857142857,3.571428571428571,1.339285714285714,1.3800000000000001,1.4620000000000002,0.08200000000000007,0.94828,0.95485,0.006569999999999965,78.9426693455798,81.67346109839816,2.7307917528183623,1.48,1.4,-0.08000000000000007,0.5267857142857143,0.45982142857142855,-0.06696428571428575
1LI1_C,4,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.33482142857142855,0.16071428571428573,-0.17410714285714282,75.0,36.0,-39.0,0.49276700615882874,0.2045205533504486,-0.2882464528083801,3.9156789779663086,4.170450210571289,0.25477123260498047,-11.580072402954102,-13.813507080078125,-2.2334346771240234,1.0,1.0,0.0,0.4464285714285714,0.4464285714285714,0.0,2.472,2.1160000000000005,-0.35599999999999943,0.92355,0.95292,0.029370000000000007,78.47820023148148,79.63004079254078,1.151840561059302,1.61,1.44,-0.17000000000000015,0.5357142857142857,0.5178571428571429,-0.017857142857142794
1LI1_C,5,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.375,0.2857142857142857,-0.0892857142857143,84.0,64.0,-20.0,0.8237055540084839,0.5568971633911133,-0.2668083906173706,4.090328216552734,3.144632339477539,-0.9456958770751953,-11.956912994384766,-12.917476654052734,-0.9605636596679688,22.0,0.0,-22.0,9.821428571428571,0.0,-9.821428571428571,0.392,3.95,3.5580000000000003,0.91387,0.94861,0.03473999999999999,75.50085289066972,79.2658503798948,3.764997489225081,1.72,1.46,-0.26,0.5535714285714286,0.5178571428571429,-0.0357142857142857
1LI1_C,6,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.3169642857142857,0.45089285714285715,0.13392857142857145,71.0,101.0,30.0,0.552765429019928,1.344056248664856,0.791290819644928,4.116048812866211,10.223627090454102,6.107578277587891,-12.062710762023926,-5.846144676208496,6.21656608581543,8.0,30.0,22.0,3.571428571428571,13.392857142857142,9.821428571428571,1.05,0.292,-0.758,0.93939,0.92795,-0.011439999999999895,77.84906002265006,75.79590805902384,-2.0531519636262203,1.71,1.78,0.07000000000000006,0.5133928571428571,0.47767857142857145,-0.03571428571428564
1LI1_C,7,1,t060,224,0.3370535714285714,low_or_equal,not_tier2,0.12946428571428573,0.4330357142857143,0.42410714285714285,-0.008928571428571452,97.0,95.0,-2.0,1.6907631158828735,2.0194954872131348,0.32873237133026123,12.952451705932617,9.749323844909668,-3.203127861022949,-5.472250938415527,-8.230984687805176,-2.7587337493896484,19.0,6.0,-13.0,8.482142857142858,2.6785714285714284,-5.803571428571429,0.9019999999999999,1.284,0.3820000000000001,0.90043,0.94215,0.04172000000000009,75.32726635514018,79.9362950058072,4.609028650667014,1.85,1.29,-0.56,0.49107142857142855,0.5357142857142857,0.04464285714285715
4ZIE_A,0,1,t060,147,0.36904761904761907,low_or_equal,not_tier2,0.4013605442176871,0.41496598639455784,0.3129251700680272,-0.10204081632653061,61.0,46.0,-15.0,3.0367839336395264,1.1986044645309448,-1.8381794691085815,13.978622436523438,13.216251373291016,-0.7623710632324219,-1.6469202041625977,1.1324739456176758,2.7793941497802734,50.0,50.0,0.0,34.01360544217687,34.01360544217687,0.0,0.144,0.132,-0.011999999999999983,0.61951,0.64814,0.028630000000000044,61.53915921288014,77.54513851653262,16.005979303652474,2.66,2.58,-0.08000000000000007,0.40816326530612246,0.4217687074829932,0.013605442176870763
4ZIE_A,1,1,t060,147,0.36904761904761907,low_or_equal,not_tier2,0.4013605442176871,0.2789115646258503,0.36054421768707484,0.08163265306122452,41.0,53.0,12.0,0.9509620070457458,2.1491541862487793,1.1981921792030334,7.392733573913574,13.994879722595215,6.602146148681641,-7.9681525230407715,-2.04075288772583,5.927399635314941,3.0,13.0,10.0,2.0408163265306123,8.843537414965986,6.802721088435375,1.582,0.446,-1.1360000000000001,0.61743,0.70644,0.08900999999999992,66.10392730496453,66.5829170383586,0.4789897333940729,2.0,2.47,0.4700000000000002,0.46258503401360546,0.41496598639455784,-0.047619047619047616
4ZIE_A,2,1,t060,147,0.36904761904761907,low_or_equal,not_tier2,0.4013605442176871,0.3673469387755102,0.3197278911564626,-0.047619047619047616,54.0,47.0,-7.0,1.1271305084228516,0.5035896897315979,-0.6235408186912537,7.778057098388672,9.283910751342773,1.5058536529541016,-7.8990373611450195,-4.688178062438965,3.2108592987060547,10.0,31.0,21.0,6.802721088435375,21.08843537414966,14.285714285714286,0.6599999999999999,0.272,-0.3879999999999999,0.62199,0.60565,-0.01634000000000002,59.739139492753615,57.96795620437956,-1.7711832883740541,2.37,2.47,0.10000000000000009,0.38095238095238093,0.35374149659863946,-0.02721088435374147
